[2025-04-30 11:10:47] Lote 1: 500 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:01:58] Lote 3: 1000 adesivos 4x4cm, 2 cartelas criadas
[2025-05-02 17:04:11] Lote 4: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:04:51] Lote 5: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:05:18] Lote 6: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:05:35] Lote 7: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:05:50] Lote 8: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:06:59] Lote 9: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:07:50] Lote 10: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:07:59] Lote 11: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:08:28] Lote 12: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:08:59] Lote 13: 1 adesivos 4x4cm, 1 cartelas criadas
[2025-05-02 17:27:07] Lote 14: 1000 adesivos 4x4cm, 2 cartelas criadas
[2025-05-02 17:28:33] Lote 15: 1000 adesivos 4x4cm, 2 cartelas criadas
[2025-05-02 17:30:05] Lote 2: 1000 adesivos 4x4cm, 2 cartelas criadas
